Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1u,
C10,0201,1,10n,
"C2, C201, C202, C203, C204, C205, C400",0402,7,100n,C1525
C200,0603,1,4u7,C19666
C206,0402,1,1u,C52923
C207,0402,1,10n,C15195
"C208, C209, C4, C5",0603,4,2u2,C23630
"C210, C211",0402,2,12p,C1547
C3,0603,1,1u,
C31,0603,1,4n7,
"D3, D4, D5",0402,3,LED,
FB200,0805,1,600 @ 600 MHz,C1017
"J1, J2",PinHeader_1x04_P1.27mm_Vertical,2,KH-1.27PH180-1X4P-L7.2,
J3,molex_2171750001_usb_c_6p,1,2171750001,
J4,CONN-HEADER-VERT-5POS-2.54MM,1,ZX-PZ2.54-1-5PZZ,
"R1, R2",0603,2,5k1,
"R13, R14, R29",0402,3,330R,
"R19, R20",0603,2,60R,
R200,0402,1,47,C25118
R203,0402,1,10k,C25744
"R23, R24",0805,2,1k5,
"R400, R401, R403, R406, R407",0402,5,22,C25092
R9,0603,1,10k,
SW1,SW_SPST_B3U-3000P-B,1,SW_SPST,
U1,to-252-2_dpak-2-leg,1,ld39150dt33-r,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U200,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24C256,C6482
U6,sot96-1_soic-8,1,TJA1051T/3,
Y200,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
