Designator,Mid X,Mid Y,Rotation,Layer
C1,22.645968,22.575,0.0,top
C10,22.145968,21.23,90.0,top
C200,7.096968,41.0,180.0,top
C201,6.621968,37.48,90.0,top
C202,10.871968,25.825,180.0,top
C203,20.871968,27.575,0.0,top
C204,21.871968,37.825,90.0,top
C205,9.851968,41.0,0.0,top
C206,5.621968,31.5,90.0,top
C207,7.121968,31.5,90.0,top
C208,18.371968,25.325,0.0,top
C209,24.371968,37.325,90.0,top
C210,3.621968,38.0,0.0,top
C211,3.621968,32.0,180.0,top
C29,21.871968,31.575,90.0,top
C3,7.0,25.5,90.0,top
C31,33.0,29.0,180.0,top
C4,3.225,27.5,0.0,top
C400,21.871968,44.825,270.0,top
C7,21.645968,23.91,0.0,top
D3,35.0,45.605,270.0,top
D4,33.0,45.605,270.0,top
D5,36.67,45.655,270.0,top
FB200,3.621968,29.5,180.0,top
J1,32.746968,32.5,180.0,top
J2,9.371968,19.325,90.0,top
J401,26.821968,44.825,180.0,top
R13,35.0,43.49,90.0,top
R14,33.0,43.49,90.0,top
R19,36.621968,34.0,270.0,top
R20,36.0,31.0,270.0,top
R200,6.621968,34.0,180.0,top
R203,15.871968,25.325,270.0,top
R23,11.371968,44.0,270.0,top
R24,13.371968,44.0,270.0,top
R29,36.67,43.51,90.0,top
R400,22.371968,39.575,0.0,top
R401,20.871968,41.575,0.0,top
R402,18.871968,42.075,90.0,top
R403,21.871968,46.835,90.0,top
R406,8.5,27.825,90.0,top
R407,9.871968,22.825,90.0,top
R9,18.046968,44.075,180.0,top
SW1,18.25,46.575,90.0,top
U1,2.5,19.76,270.0,top
U2,20.121968,21.41,90.0,top
U200,14.371968,33.325,270.0,top
U4,4.371968,44.5,270.0,top
U6,26.371968,32.075,0.0,top
Y200,3.621968,35.0,270.0,top
